time     distance
0.0    0
1.0    0.034739
2.0    0.138325
3.0    0.309338
4.0    0.5460455
5.0    0.8464149999999999
6.0    1.2081285
7.0    1.6285975
8.0    2.10498
9.0    2.6341965
10.0    3.212949
11.0    3.83774
12.0    4.504892
13.0    5.2105685
14.0    5.9507945
15.0    6.721477999999999
16.0    7.518431999999999
17.0    8.337396499999999
18.0    9.174058999999998
19.0    10.024076999999998
20.0    10.883100499999998
21.0    11.746792499999998
22.0    12.610850999999998
23.0    13.471028999999998
24.0    14.323154499999998
25.0    15.163150999999997
26.0    15.987054999999998
27.0    16.7910345
28.0    17.571406
29.0    18.324651
30.0    19.047431
31.0    19.736600499999998
32.0    20.389221
33.0    21.0025725
34.0    21.574164
35.0    22.1017425
36.0    22.5833005
37.0    23.017083
38.0    23.4015935
39.0    23.735597000000002
40.0    24.018122
41.0    24.248463500000003
42.0    24.426182000000004
43.0    24.551101500000005
44.0    24.623308500000004
45.0    24.643147000000003
46.0    24.611213000000003
47.0    24.528349000000002
48.0    24.395636000000003
49.0    24.214385500000002
50.0    23.9861305
51.0    23.7126145
52.0    23.395780000000002
53.0    23.037756
54.0    22.6408455
55.0    22.2075125
56.0    21.740367
57.0    21.24215
58.0    20.7157195
59.0    20.1640335
60.0    19.590135
61.0    18.997136
62.0    18.3882005
63.0    17.7665295
64.0    17.135344
65.0    16.497869
66.0    15.8573175
67.0    15.216875
68.0    14.579684
69.0    13.948830000000001
70.0    13.327326500000002
71.0    12.718101
72.0    12.123982000000002
73.0    11.547686000000002
74.0    10.991806500000003
75.0    10.458802000000002
76.0    9.950986500000003
77.0    9.470520000000002
78.0    9.019399000000002
79.0    8.599449500000002
80.0    8.212320000000002
81.0    7.859476500000002
82.0    7.542197500000002
83.0    7.2615700000000025
84.0    7.018486000000003
85.0    6.813641500000003
86.0    6.647536000000003
87.0    6.520472000000003
88.0    6.432556500000003
89.0    6.383702000000003
90.0    6.3736305000000035
91.0    6.4018780000000035
92.0    6.467799000000004
93.0    6.570571000000004
94.0    6.709201000000004
95.0    6.882533500000004
96.0    7.089257500000004
97.0    7.327916000000004
98.0    7.596914500000004
99.0    7.894530500000004
100.0    8.218924000000003
